variable,mu_c,CI_c_lower,CI_c_upper
209,33063.169882866714,32342.57465872539,33783.76510700804
210,33089.45245249246,32393.02986528409,33785.87503970084
211,33086.16066004719,32395.52854827185,33776.79277182252
212,33077.08512858246,32417.946713795747,33736.223543369175
213,33054.14724188596,32396.593088319918,33711.70139545201
214,33046.21195099115,32370.749084033614,33721.674817948675
215,32988.162584193655,32330.075008557338,33646.250159829986
216,32876.16937498932,32205.8703227133,33546.46842726533
217,32912.04396935766,32231.567882811738,33592.52005590359
218,32885.902705701694,32177.331682373933,33594.47372902946
219,32813.035007491584,32086.452425961168,33539.61758902202
220,32785.36853585118,32033.410543671507,33537.32652803086
221,32820.72245164209,32040.07535634974,33601.36954693446
222,32810.48191307685,32026.99148981369,33593.97233634002
223,32801.773283137096,32029.542098227113,33574.00446804708
224,32778.37682920096,31985.383178815602,33571.37047958632
225,32781.32131782187,31983.55791223735,33579.08472340639
226,32750.61047955096,31955.554811672486,33545.66614742943
227,32766.892294697944,31961.984220077335,33571.80036931855
228,32736.838746132424,31934.97588039535,33538.7016118695
229,32749.14200840851,31934.62317389324,33563.66084292378
230,32759.937584662308,31944.910967400298,33574.964201924304
231,32732.948071390336,31931.804703585145,33534.09143919553
232,32742.377500755967,31945.731307350034,33539.02369416189
233,32643.911100580208,31841.221560292513,33446.600640867895
234,32632.24219821118,31831.37974815009,33433.104648272274
235,32613.6384575119,31821.647496749523,33405.62941827428
236,32602.711109151336,31794.680908094615,33410.74131020805
237,32659.915875053128,31831.448137889765,33488.38361221649
238,32634.38622500084,31770.47312466052,33498.29932534116
239,32625.666552113176,31733.053744208133,33518.27936001821
240,32555.9606611921,31686.607819012304,33425.31350337189
241,32518.640979093092,31600.40781655767,33436.87414162851
242,32461.630786713027,31556.416012906295,33366.84556051977
243,32477.59560937642,31585.69882350304,33369.49239524979
244,32442.66420545754,31551.507462911635,33333.82094800344
245,32423.87329019423,31537.821746013953,33309.924834374506
246,32357.064160612576,31469.718705123974,33244.409616101184
247,32311.301348768062,31424.721271243572,33197.88142629256
248,32292.825911973425,31413.854239750075,33171.79758419677
249,32247.70280107419,31343.73264621118,33151.67295593719
250,32149.930224090996,31293.26981696926,33006.59063121273
251,32076.343979280537,31234.6494658931,32918.038492667976
252,32075.73068550045,31246.982782305084,32904.47858869581
253,32056.206264077155,31250.065609648198,32862.34691850611
254,32068.7268045772,31278.089739021714,32859.363870132685
255,32035.068310578972,31252.51119696347,32817.62542419446
256,31960.075007233612,31208.206192689246,32711.94382177798
257,31898.749474790737,31144.699641342788,32652.79930823868
258,31893.37415626997,31151.911178397644,32634.837134142286
259,31841.92967229749,31111.56537441221,32572.29397018277
260,31817.23645348024,31110.19952332943,32524.273383631044
261,31806.35731445367,31107.84605071235,32504.868578195
262,31804.682880989505,31111.525921660224,32497.839840318793
263,31804.397276567135,31121.85251787287,32486.9420352614
264,31730.087310925956,31082.623492024188,32377.551129827723
265,31686.57456853186,31048.162411619935,32324.98672544378
266,31671.58870629916,31083.563746429172,32259.61366616915
267,31661.485031311026,31035.080308161985,32287.889754460073
268,31635.404346728777,31022.568026393037,32248.24066706451
269,31605.25035129633,30996.71136593359,32213.789336659072
270,31598.792886276788,30999.759809158866,32197.82596339471
271,31550.81562885514,30982.874373093913,32118.756884616367
272,31523.12815122994,30969.293899229306,32076.962403230573
273,31495.168673769258,30927.465942437124,32062.8714051014
274,31464.8226056603,30873.94548362896,32055.699727691637
275,31432.412597285685,30832.042979121907,32032.78221544948
276,31424.691398707582,30799.81943235206,32049.5633650631
277,31431.481011432432,30809.722298606972,32053.23972425789
278,31345.983564961243,30740.621379561417,31951.34575036107
279,31327.892874485256,30706.61252620631,31949.17322276421
280,31339.035374364405,30712.703761218596,31965.36698751022
281,31302.330983452266,30675.583666051552,31929.078300852972
282,31257.36687432844,30630.21012167288,31884.523626984006
283,31279.837597769212,30637.282696521506,31922.39249901691
284,31276.610709035212,30634.903514664053,31918.31790340638
285,31269.408353939616,30638.382205180606,31900.434502698634
286,31212.20367689923,30545.070221541577,31879.33713225689
287,31140.271630344854,30438.458634634964,31842.084626054744
288,31082.99228268549,30398.088773499487,31767.89579187149
289,31068.701945217468,30390.78290441984,31746.620986015103
290,31045.983495108765,30387.538441883316,31704.42854833422
291,31051.609222358904,30390.41458301347,31712.803861704346
292,31043.147987839395,30379.11456109778,31707.181414581017
293,31037.62218391306,30376.89278914073,31698.35157868539
294,30995.81563329595,30321.3328412057,31670.2984253862
295,31015.66006543373,30366.40320033818,31664.91693052928
296,31013.222511274478,30380.937524063946,31645.50749848501
297,30981.839847401265,30393.10357937201,31570.576115430526
298,30937.466893644083,30344.587665622515,31530.34612166565
299,30929.75840002931,30345.48534587835,31514.03145418026
300,30908.16715973519,30339.75854859296,31476.575770877418
301,30905.494397378687,30358.804634711963,31452.184160045425
302,30857.58064696717,30329.834583835425,31385.326710098907
303,30824.66323871344,30304.233582808258,31345.092894618632
304,30810.492259084207,30273.632936060516,31347.351582107905
305,30772.576271569756,30234.80695124661,31310.345591892896
306,30702.675721548985,30151.99234743236,31253.35909566561
307,30711.07119225255,30166.613337513947,31255.529046991163
308,30692.612884536084,30127.884114795095,31257.341654277072
309,30704.50453330504,30142.05278774496,31266.956278865113
310,30652.210566350146,30105.320635004962,31199.10049769533
311,30588.8053507621,30046.244715688128,31131.365985836073
312,30580.57337400049,30034.845154922325,31126.301593078657
313,30585.140429087816,30041.35335252669,31128.92750564895
314,30564.27899800532,30026.072431514403,31102.485564496223
315,30557.806624719226,30019.682087766785,31095.93116167166
316,30525.35690026193,29985.719896523424,31064.993904000436
317,30527.719300017194,30004.529300293216,31050.90929974118
318,30515.54057259638,29999.93721270138,31031.14393249139
319,30524.14664420684,29998.814152498835,31049.479135914848
320,30505.17468811112,29993.96435492803,31016.38502129422
321,30462.195900462,29948.40340952485,30975.988391399158
322,30428.4145624422,29893.955340306584,30962.87378457782
323,30402.78713695099,29876.684374161818,30928.889899740167
324,30368.351932747915,29855.07856013611,30881.625305359736
325,30373.486303277372,29847.20590043067,30899.766706124075
326,30348.144263085946,29842.555030690943,30853.733495480956
327,30321.051795654268,29808.676876684476,30833.42671462406
328,30340.126977877713,29827.830902048765,30852.42305370666
329,30327.65733740094,29827.85099383919,30827.463680962694
330,30292.026278589146,29789.97108701703,30794.08147016126
331,30315.41067363085,29831.325723840175,30799.495623421524
332,30301.70077657309,29818.24621339904,30785.155339747136
333,30286.255329725336,29805.874974640894,30766.635684809786
334,30226.093049045092,29749.217248253575,30702.96884983661
335,30180.00924064613,29728.825011096116,30631.193470196144
336,30178.28922268964,29722.153166627395,30634.425278751878
337,30146.668812557782,29689.58996713643,30603.747657979126
338,30108.402160448593,29656.297192353264,30560.507128543915
339,30072.71085168607,29650.569775144508,30494.851928227643
340,30003.20938565112,29574.22863268783,30432.19013861441
341,29974.28476873469,29577.279918166234,30371.28961930315
342,29931.71780374538,29539.406340730628,30324.029266760128
343,29922.82579868142,29537.355583171662,30308.29601419118
344,29887.78446398947,29475.367481801488,30300.20144617744
345,29873.021554658182,29440.033901411112,30306.009207905252
346,29867.82148930218,29438.54958526027,30297.09339334409
347,29832.413034783975,29409.40477964424,30255.421289923703
348,29849.20733319761,29437.22299175491,30261.19167464031
349,29827.581454775896,29424.687227201848,30230.475682349937
350,29826.940623524548,29442.20301507566,30211.678231973438
351,29764.24534802071,29313.90329412969,30214.587401911733
352,29701.062788884265,29269.302948699213,30132.822629069316
353,29693.92347632473,29263.108615985235,30124.73833666423
354,29690.294294862186,29242.987886657866,30137.6007030665
355,29678.77921437031,29229.523675118635,30128.03475362199
356,29679.741465272597,29228.431872515772,30131.05105802943
357,29651.36051829829,29199.290897149254,30103.430139447326
358,29597.22204207278,29159.48191786586,30034.962166279696
359,29570.75642199464,29141.267956410087,30000.244887579192
360,29518.52707034035,29077.819827020943,29959.234313659752
361,29499.752916868107,29056.869484681076,29942.63634905513
362,29422.183095129676,29006.702972087573,29837.663218171787
363,29404.941983466422,28996.325426274296,29813.55854065855
364,29385.032842645276,28992.650831503353,29777.4148537872
365,29344.935895971874,28945.05770323888,29744.814088704883
366,29276.068980326043,28886.538268252985,29665.599692399108
367,29274.435823873453,28885.214664690542,29663.656983056364
368,29223.18140273991,28857.73206814707,29588.630737332747
369,29202.965438091163,28827.356788190893,29578.57408799144
370,29204.556331462798,28853.469537649253,29555.64312527635
371,29197.98003685924,28843.612757233015,29552.347316485466
372,29179.7999179213,28819.605848730986,29539.993987111615
373,29131.64951392658,28767.205664273577,29496.09336357959
374,29093.959840304382,28735.45468082091,29452.464999787855
375,29082.582410347746,28722.122747826128,29443.04207286937
376,29079.736156488187,28723.602353967453,29435.86995900892
377,29072.6107185351,28721.972811929605,29423.248625140594
378,29058.22419242984,28683.49165935327,29432.956725506418
379,29057.967187703594,28653.161303209574,29462.773072197615
380,29046.569695884074,28653.49579971844,29439.643592049702
